mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,added_at
0.5311,0.1391,0.5815,0.3431,0.7689,2024-06-08 23:10
0.5485,0.175,0.618,0.381,0.7389,2024-06-09 07:12
0.552,0.1893,0.6461,0.4093,0.7098,2024-06-09 22:05
0.5716,0.1975,0.6595,0.4296,0.6795,2024-06-10 07:39
0.5683,0.2062,0.6269,0.4175,0.6495,2024-06-12 22:41
0.5782,0.2112,0.6444,0.437,0.6218,2024-06-13 16:14
0.5892,0.2077,0.6451,0.4409,0.631,2024-06-15 20:35
0.5751,0.2034,0.6524,0.4385,0.6406,2024-06-20 06:38
0.5775,0.2066,0.6658,0.4488,0.6327,2024-06-24 09:58
0.5828,0.2086,0.6802,0.4596,0.6264,2024-06-24 09:58
0.5792,0.2046,0.6927,0.4692,0.6303,2024-06-24 10:04
0.5741,0.1993,0.6899,0.4634,0.6423,2024-06-24 10:08
0.5728,0.1974,0.6938,0.4593,0.6489,2024-06-24 11:21
0.5699,0.199,0.704,0.4567,0.6522,2024-06-25 21:10
0.5747,0.1991,0.7131,0.4668,0.653,2024-06-25 23:33
0.5795,0.1949,0.7005,0.4606,0.656,2024-06-26 11:55
0.5812,0.1926,0.7015,0.4557,0.6607,2024-06-26 11:55
0.5781,0.1907,0.7048,0.4574,0.665,2024-06-28 22:14
0.5652,0.1916,0.7143,0.4639,0.6619,2024-07-01 14:37
0.5602,0.1862,0.7019,0.4546,0.6686,2024-07-01 14:37
0.5457,0.1826,0.7078,0.4481,0.6777,2024-07-02 16:58
0.5551,0.1913,0.712,0.4609,0.6587,2024-07-02 17:16
0.5324,0.1916,0.7097,0.4486,0.6638,2024-07-04 20:43
0.5444,0.1967,0.724,0.4604,0.6563,2024-07-04 22:08
0.5431,0.199,0.7419,0.4722,0.6578,2024-07-04 22:12
0.5505,0.2027,0.75,0.4803,0.6533,2024-07-04 22:31
0.5551,0.204,0.7691,0.4916,0.6506,2024-07-04 22:34
0.5643,0.2069,0.7839,0.506,0.645,2024-07-07 01:10
0.5685,0.198,0.7814,0.5118,0.6535,2024-07-09 00:28
0.5777,0.2145,0.7861,0.526,0.6351,2024-07-09 00:47
0.5714,0.2147,0.793,0.531,0.6412,2024-07-09 00:52
0.5715,0.2056,0.7909,0.5275,0.646,2024-07-09 01:11
0.5715,0.1991,0.7886,0.5186,0.6578,2024-07-09 01:13
0.5704,0.194,0.7888,0.5094,0.6732,2024-07-11 12:56
0.5704,0.187,0.8059,0.5145,0.6915,2024-07-11 13:00
0.5624,0.1856,0.8078,0.5109,0.701,2024-07-12 00:37
0.5696,0.211,0.8191,0.5266,0.6758,2024-07-15 19:11
0.5755,0.2084,0.8213,0.5224,0.6793,2024-07-15 19:36
0.5741,0.2022,0.8189,0.5127,0.6919,2024-07-15 19:50
0.5685,0.205,0.8203,0.5162,0.6899,2024-07-15 19:51
0.5697,0.2116,0.822,0.5158,0.6909,2024-07-16 16:58
0.5695,0.211,0.8254,0.515,0.6941,2024-07-16 17:07
0.5581,0.2217,0.8326,0.5292,0.6732,2024-07-16 17:10
0.5639,0.2258,0.8346,0.5447,0.6543,2024-07-16 17:20
0.5669,0.2348,0.8349,0.5445,0.6478,2024-07-16 17:52
0.573,0.2355,0.8533,0.5493,0.6492,2024-07-17 20:50
0.561,0.2355,0.8582,0.5476,0.6498,2024-07-18 00:07
0.561,0.2372,0.8639,0.5489,0.65,2024-07-20 01:31
0.5733,0.237,0.8645,0.5468,0.6537,2024-07-20 01:34
0.5811,0.2372,0.8598,0.544,0.6546,2024-07-20 01:48
0.6072,0.2397,0.8436,0.5499,0.6313,2024-07-21 22:59
0.6115,0.2354,0.8398,0.5472,0.6357,2024-07-22 00:00
0.6396,0.2346,0.8233,0.5562,0.6138,2024-07-22 10:17
0.6327,0.2474,0.8318,0.5551,0.6061,2024-07-24 03:10
0.6342,0.2451,0.8238,0.5485,0.6085,2024-07-26 06:44
